reduced_formulas,etl,htl,bandgap,device_stack,pce,etl_SMILES,htl_SMILES
BaC100H600I300N100Pb99,['TiO2-c'],['Spiro-MeOTAD'],0.0,"['SLG', 'FTO', 'TiO2-c', 'Perovskite', 'Spiro-MeOTAD', 'Au']",13.05,['O=[Ti]=O'],['COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)C3=CC4=C(C=C3)C5=C(C46C7=C(C=CC(=C7)N(C8=CC=C(C=C8)OC)C9=CC=C(C=C9)OC)C1=C6C=C(C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C=C(C=C5)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC']
BaC10H60I30N10Pb9,['TiO2-c'],['Spiro-MeOTAD'],0.0,"['SLG', 'FTO', 'TiO2-c', 'Perovskite', 'Spiro-MeOTAD', 'Au']",9.533333333333333,['O=[Ti]=O'],['COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)C3=CC4=C(C=C3)C5=C(C46C7=C(C=CC(=C7)N(C8=CC=C(C=C8)OC)C9=CC=C(C=C9)OC)C1=C6C=C(C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C=C(C=C5)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC']
BaC20H120I60N20Pb19,['TiO2-c'],['Spiro-MeOTAD'],0.0,"['SLG', 'FTO', 'TiO2-c', 'Perovskite', 'Spiro-MeOTAD', 'Au']",12.0,['O=[Ti]=O'],['COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)C3=CC4=C(C=C3)C5=C(C46C7=C(C=CC(=C7)N(C8=CC=C(C=C8)OC)C9=CC=C(C=C9)OC)C1=C6C=C(C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C=C(C=C5)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC']
BaCs10I30Pb9,['SnO2-c'],['P3HT'],1.7200001834055634,"['SLG', 'ITO', 'SnO2-c', 'Perovskite', 'P3HT', 'Au']",5.326666666666667,['O=[Sn]=O'],['CCCCCCC1=CSC=C1']
Bi19Fe20LaO60,['SnO2-c'],['none'],0.0,"['SLG', 'FTO', 'SnO2-c', 'Perovskite', 'Au']",5.45,['O=[Sn]=O'],['no_ctl']
Bi19Fe20LaO60,['TiO2-c'],['none'],0.0,"['SLG', 'FTO', 'TiO2-c', 'Perovskite', 'Au']",5.62,['O=[Ti]=O'],['no_ctl']
Bi19Fe20LaO60,['ZnO-c'],['none'],0.0,"['SLG', 'FTO', 'ZnO-c', 'Perovskite', 'Au']",4.11,['O=[Zn]'],['no_ctl']
Bi2C3H18I9N3,"['TiO2-c', 'TiO2-mp']",['P3HT'],0.0,"['SLG', 'FTO', 'TiO2-c', 'TiO2-mp', 'Perovskite', 'P3HT', 'Au']",3.15,"['O=[Ti]=O', 'O=[Ti]=O']",['CCCCCCC1=CSC=C1']
Bi3Cs50I150Pb47,['TiO2-c'],['Spiro-MeOTAD'],0.0,"['SLG', 'FTO', 'TiO2-c', 'Perovskite', 'Spiro-MeOTAD', 'Au']",10.02,['O=[Ti]=O'],['COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)C3=CC4=C(C=C3)C5=C(C46C7=C(C=CC(=C7)N(C8=CC=C(C=C8)OC)C9=CC=C(C=C9)OC)C1=C6C=C(C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C=C(C=C5)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC']
BiC20H100I60N40Pb19,['TiO2-c'],['Spiro-MeOTAD'],0.0,"['SLG', 'FTO', 'TiO2-c', 'Perovskite', 'Spiro-MeOTAD', 'Au']",17.78,['O=[Ti]=O'],['COC1=CC=C(C=C1)N(C2=CC=C(C=C2)OC)C3=CC4=C(C=C3)C5=C(C46C7=C(C=CC(=C7)N(C8=CC=C(C=C8)OC)C9=CC=C(C=C9)OC)C1=C6C=C(C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C=C(C=C5)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC']
